rys_start,rys_end,duplicated_layers,execution_layers,blimp_fast,supplement_fast,ewok_fast,entity_tracking_fast,combined_sentence_acc,eye_tracking_score,self_paced_reading_score,output_dir
0,0,0,12,65.36,59.6,49.09,19.1,48.2875,9.63,1.64,results_rys_fast/baseline
0,1,1,13,62.75,58.4,50.91,18.93,47.7475,11.54,2.11,results_rys_fast/rys_0_1
0,2,2,14,62.25,59.2,50.0,19.29,47.685,11.33,2.02,results_rys_fast/rys_0_2
1,2,1,13,64.15,58.0,49.45,20.58,48.045,10.38,1.89,results_rys_fast/rys_1_2
0,3,3,15,62.15,57.6,50.64,19.86,47.5625,11.14,1.89,results_rys_fast/rys_0_3
1,3,2,14,63.9,56.0,50.82,21.48,48.05,10.82,1.98,results_rys_fast/rys_1_3
2,3,1,13,64.81,58.0,49.82,21.02,48.4125,10.4,1.89,results_rys_fast/rys_2_3
0,4,4,16,60.75,56.8,50.45,19.22,46.805,11.21,1.91,results_rys_fast/rys_0_4
1,4,3,15,62.46,57.6,51.09,20.03,47.795,11.13,1.91,results_rys_fast/rys_1_4
2,4,2,14,63.66,58.0,50.09,20.65,48.1,10.9,1.88,results_rys_fast/rys_2_4
3,4,1,13,64.63,58.0,49.45,19.49,47.8925,10.45,1.68,results_rys_fast/rys_3_4
0,5,5,17,60.92,56.8,49.91,21.09,47.18,11.6,1.94,results_rys_fast/rys_0_5
1,5,4,16,61.78,57.2,51.27,21.12,47.8425,11.56,1.9,results_rys_fast/rys_1_5
2,5,3,15,62.7,56.8,50.55,21.49,47.885,11.27,1.86,results_rys_fast/rys_2_5
3,5,2,14,63.87,56.8,49.55,20.35,47.6425,10.69,1.66,results_rys_fast/rys_3_5
4,5,1,13,64.89,58.8,49.55,20.51,48.4375,10.31,1.65,results_rys_fast/rys_4_5
0,6,6,18,61.38,56.8,50.09,20.1,47.0925,11.33,1.93,results_rys_fast/rys_0_6
1,6,5,17,62.51,58.4,51.73,21.12,48.44,11.21,1.86,results_rys_fast/rys_1_6
2,6,4,16,63.03,58.4,51.18,20.76,48.3425,10.97,1.84,results_rys_fast/rys_2_6
3,6,3,15,63.69,58.4,50.64,19.81,48.135,10.66,1.65,results_rys_fast/rys_3_6
4,6,2,14,64.62,59.6,50.09,20.62,48.7325,10.54,1.67,results_rys_fast/rys_4_6
5,6,1,13,64.85,60.0,49.0,18.43,48.07,9.77,1.68,results_rys_fast/rys_5_6
0,7,7,19,62.84,57.2,49.18,19.47,47.1725,11.18,1.91,results_rys_fast/rys_0_7
1,7,6,18,63.99,59.6,50.27,19.68,48.385000000000005,11.12,1.9,results_rys_fast/rys_1_7
2,7,5,17,63.75,60.4,50.91,20.07,48.7825,10.89,1.88,results_rys_fast/rys_2_7
3,7,4,16,64.1,60.8,50.18,18.87,48.4875,10.85,1.78,results_rys_fast/rys_3_7
4,7,3,15,64.5,61.2,48.64,18.98,48.33,10.75,1.85,results_rys_fast/rys_4_7
5,7,2,14,64.96,59.2,48.55,17.7,47.6025,10.15,1.81,results_rys_fast/rys_5_7
6,7,1,13,65.79,60.0,48.0,18.67,48.115,10.1,1.8,results_rys_fast/rys_6_7
0,8,8,20,62.54,56.0,50.73,17.42,46.6725,10.71,1.82,results_rys_fast/rys_0_8
1,8,7,19,63.75,58.0,50.27,19.39,47.8525,10.6,1.91,results_rys_fast/rys_1_8
2,8,6,18,63.7,58.4,50.27,19.83,48.05,10.28,1.83,results_rys_fast/rys_2_8
3,8,5,17,63.87,59.2,49.45,19.02,47.885,10.32,1.79,results_rys_fast/rys_3_8
4,8,4,16,64.09,57.6,49.18,19.55,47.605000000000004,10.08,1.75,results_rys_fast/rys_4_8
5,8,3,15,64.74,58.0,48.36,18.78,47.47,9.41,1.67,results_rys_fast/rys_5_8
6,8,2,14,65.28,59.6,49.45,19.11,48.36,9.11,1.62,results_rys_fast/rys_6_8
7,8,1,13,65.5,60.0,47.45,18.7,47.9125,8.26,1.46,results_rys_fast/rys_7_8
0,9,9,21,61.63,56.0,50.73,17.34,46.425,10.58,1.75,results_rys_fast/rys_0_9
1,9,8,20,63.1,59.6,49.55,18.88,47.7825,10.53,1.89,results_rys_fast/rys_1_9
2,9,7,19,62.91,58.4,49.45,18.24,47.25,10.25,1.87,results_rys_fast/rys_2_9
3,9,6,18,63.3,58.0,49.36,18.64,47.325,10.39,1.84,results_rys_fast/rys_3_9
4,9,5,17,63.46,59.2,47.91,18.94,47.3775,10.33,1.79,results_rys_fast/rys_4_9
5,9,4,16,64.16,58.0,46.91,19.13,47.05,9.76,1.69,results_rys_fast/rys_5_9
6,9,3,15,64.72,57.6,47.27,18.36,46.9875,9.17,1.54,results_rys_fast/rys_6_9
7,9,2,14,64.92,60.4,48.55,18.35,48.055,8.34,1.4,results_rys_fast/rys_7_9
8,9,1,13,64.84,59.2,48.55,18.24,47.7075,9.53,1.45,results_rys_fast/rys_8_9
0,10,10,22,61.0,56.8,50.36,17.1,46.315,10.03,2.0,results_rys_fast/rys_0_10
1,10,9,21,62.25,58.0,49.18,18.84,47.0675,9.82,2.09,results_rys_fast/rys_1_10
2,10,8,20,61.96,58.8,48.91,18.35,47.004999999999995,9.61,2.03,results_rys_fast/rys_2_10
3,10,7,19,62.4,58.0,49.18,17.44,46.755,9.86,1.99,results_rys_fast/rys_3_10
4,10,6,18,62.76,58.0,48.18,18.97,46.9775,9.97,1.89,results_rys_fast/rys_4_10
5,10,5,17,63.3,56.8,48.09,18.59,46.695,9.53,1.81,results_rys_fast/rys_5_10
6,10,4,16,63.85,58.4,48.27,18.55,47.2675,9.11,1.72,results_rys_fast/rys_6_10
7,10,3,15,64.12,59.2,48.18,18.48,47.495000000000005,8.84,1.68,results_rys_fast/rys_7_10
8,10,2,14,64.01,58.0,48.55,18.28,47.21,9.75,1.73,results_rys_fast/rys_8_10
9,10,1,13,64.72,58.8,48.91,18.52,47.7375,9.93,1.88,results_rys_fast/rys_9_10
0,11,11,23,61.05,55.2,49.09,16.65,45.4975,10.19,2.26,results_rys_fast/rys_0_11
1,11,10,22,62.31,56.8,48.73,17.65,46.3725,9.91,2.47,results_rys_fast/rys_1_11
2,11,9,21,62.22,56.8,47.91,17.95,46.22,9.98,2.41,results_rys_fast/rys_2_11
3,11,8,20,62.57,56.8,48.73,18.81,46.7275,10.14,2.31,results_rys_fast/rys_3_11
4,11,7,19,62.89,56.0,49.09,18.32,46.575,10.31,2.18,results_rys_fast/rys_4_11
5,11,6,18,63.51,56.0,49.09,17.69,46.5725,10.0,2.13,results_rys_fast/rys_5_11
6,11,5,17,63.87,57.6,48.91,17.96,47.085,9.53,1.93,results_rys_fast/rys_6_11
7,11,4,16,64.23,56.4,48.09,18.71,46.8575,9.2,1.9,results_rys_fast/rys_7_11
8,11,3,15,64.22,57.6,48.73,17.72,47.067499999999995,10.23,1.9,results_rys_fast/rys_8_11
9,11,2,14,64.75,58.4,48.36,18.63,47.535,10.3,2.0,results_rys_fast/rys_9_11
10,11,1,13,65.59,57.6,48.55,18.7,47.61,10.14,1.88,results_rys_fast/rys_10_11
0,12,12,24,60.94,55.6,48.0,18.0,45.635,9.73,2.28,results_rys_fast/rys_0_12
1,12,11,23,61.96,56.0,47.82,18.02,45.95,9.75,2.73,results_rys_fast/rys_1_12
2,12,10,22,61.83,57.6,47.64,17.51,46.145,9.98,2.72,results_rys_fast/rys_2_12
3,12,9,21,62.4,56.8,48.09,18.96,46.5625,9.88,2.6,results_rys_fast/rys_3_12
4,12,8,20,62.9,57.6,47.36,18.73,46.6475,10.33,2.44,results_rys_fast/rys_4_12
5,12,7,19,63.85,57.6,49.09,18.02,47.14,9.95,2.36,results_rys_fast/rys_5_12
