rys_start,rys_end,duplicated_layers,execution_layers,blimp_fast,supplement_fast,ewok_fast,entity_tracking_fast,combined_sentence_acc,eye_tracking_score,self_paced_reading_score,output_dir
0,0,0,12,65.4,60.8,50.64,18.25,48.7725,7.39,3.07,results_rys_fast/baseline
0,1,1,13,65.06,57.6,48.64,16.91,47.0525,6.62,3.05,results_rys_fast/rys_0_1
0,2,2,14,64.96,58.4,47.73,17.1,47.0475,7.16,3.24,results_rys_fast/rys_0_2
1,2,1,13,65.34,58.8,50.55,17.45,48.035,7.72,3.01,results_rys_fast/rys_1_2
0,3,3,15,65.14,58.0,49.64,17.14,47.480000000000004,7.64,3.41,results_rys_fast/rys_0_3
1,3,2,14,65.27,59.6,49.55,17.35,47.942499999999995,7.82,2.96,results_rys_fast/rys_1_3
2,3,1,13,65.22,58.4,50.36,17.77,47.9375,7.54,3.06,results_rys_fast/rys_2_3
0,4,4,16,64.18,59.6,49.55,15.99,47.33,7.57,3.49,results_rys_fast/rys_0_4
1,4,3,15,64.98,59.6,48.91,17.77,47.815,7.76,2.86,results_rys_fast/rys_1_4
2,4,2,14,65.07,58.8,49.64,17.46,47.7425,7.32,2.92,results_rys_fast/rys_2_4
3,4,1,13,65.32,60.8,49.36,17.49,48.2425,7.45,3.01,results_rys_fast/rys_3_4
0,5,5,17,63.08,59.2,49.64,16.61,47.1325,7.76,3.21,results_rys_fast/rys_0_5
1,5,4,16,63.81,58.8,48.64,17.47,47.18,7.82,2.55,results_rys_fast/rys_1_5
2,5,3,15,64.11,59.6,49.18,16.61,47.375,7.42,2.74,results_rys_fast/rys_2_5
3,5,2,14,64.54,59.6,50.18,17.67,47.9975,7.9,2.9,results_rys_fast/rys_3_5
4,5,1,13,64.75,60.0,51.91,16.98,48.41,7.59,2.89,results_rys_fast/rys_4_5
0,6,6,18,62.0,61.6,49.55,16.91,47.515,7.78,3.05,results_rys_fast/rys_0_6
1,6,5,17,63.2,60.4,49.73,17.75,47.769999999999996,8.18,2.39,results_rys_fast/rys_1_6
2,6,4,16,63.62,59.6,50.91,16.8,47.7325,7.84,2.56,results_rys_fast/rys_2_6
3,6,3,15,64.25,60.4,50.55,17.15,48.0875,8.08,2.82,results_rys_fast/rys_3_6
4,6,2,14,64.47,61.6,51.55,16.25,48.4675,7.9,2.85,results_rys_fast/rys_4_6
5,6,1,13,65.04,62.0,50.64,17.81,48.8725,7.84,2.85,results_rys_fast/rys_5_6
0,7,7,19,62.36,60.0,49.91,16.98,47.3125,7.84,3.0,results_rys_fast/rys_0_7
1,7,6,18,63.81,60.4,49.64,18.13,47.995,8.49,2.61,results_rys_fast/rys_1_7
2,7,5,17,64.15,60.0,49.55,17.85,47.8875,8.03,2.76,results_rys_fast/rys_2_7
3,7,4,16,64.54,61.2,49.45,17.68,48.2175,8.2,2.9,results_rys_fast/rys_3_7
4,7,3,15,64.68,63.2,49.73,17.3,48.7275,7.67,3.01,results_rys_fast/rys_4_7
5,7,2,14,65.04,60.8,49.45,17.63,48.230000000000004,7.61,3.14,results_rys_fast/rys_5_7
6,7,1,13,65.25,61.6,50.64,18.24,48.9325,6.74,3.29,results_rys_fast/rys_6_7
0,8,8,20,63.28,60.8,49.27,16.77,47.53,7.77,3.29,results_rys_fast/rys_0_8
1,8,7,19,63.78,60.8,49.73,17.5,47.9525,8.77,3.04,results_rys_fast/rys_1_8
2,8,6,18,63.99,58.4,49.27,17.97,47.4075,8.41,3.12,results_rys_fast/rys_2_8
3,8,5,17,64.3,59.2,50.36,17.57,47.8575,8.5,3.19,results_rys_fast/rys_3_8
4,8,4,16,64.6,60.8,49.64,16.79,47.957499999999996,7.99,3.22,results_rys_fast/rys_4_8
5,8,3,15,64.72,60.0,49.73,18.1,48.1375,7.71,3.29,results_rys_fast/rys_5_8
6,8,2,14,65.06,59.2,50.27,18.28,48.2025,6.95,3.42,results_rys_fast/rys_6_8
7,8,1,13,64.86,60.0,49.55,18.17,48.144999999999996,7.49,3.2,results_rys_fast/rys_7_8
0,9,9,21,62.7,60.8,48.64,16.56,47.175,8.44,3.33,results_rys_fast/rys_0_9
1,9,8,20,63.38,59.6,49.27,17.12,47.3425,9.12,3.03,results_rys_fast/rys_1_9
2,9,7,19,63.58,59.2,49.82,17.02,47.405,8.92,3.12,results_rys_fast/rys_2_9
3,9,6,18,63.96,60.4,48.45,17.56,47.5925,9.07,3.2,results_rys_fast/rys_3_9
4,9,5,17,64.43,61.6,47.64,16.78,47.612500000000004,8.67,3.26,results_rys_fast/rys_4_9
5,9,4,16,64.63,60.8,48.09,17.21,47.6825,8.34,3.32,results_rys_fast/rys_5_9
6,9,3,15,65.06,60.4,48.73,17.81,48.0,7.82,3.52,results_rys_fast/rys_6_9
7,9,2,14,64.96,58.0,49.73,17.36,47.512499999999996,8.21,3.34,results_rys_fast/rys_7_9
8,9,1,13,65.37,58.4,48.64,17.48,47.472500000000004,8.25,3.19,results_rys_fast/rys_8_9
0,10,10,22,63.15,58.0,47.0,17.11,46.315,8.6,3.49,results_rys_fast/rys_0_10
1,10,9,21,63.19,58.4,49.0,16.64,46.8075,9.26,3.4,results_rys_fast/rys_1_10
2,10,8,20,63.25,57.6,48.36,16.9,46.5275,9.09,3.48,results_rys_fast/rys_2_10
3,10,7,19,63.76,59.6,48.91,16.39,47.165,9.12,3.53,results_rys_fast/rys_3_10
4,10,6,18,64.13,59.2,47.27,15.8,46.6,8.68,3.5,results_rys_fast/rys_4_10
5,10,5,17,64.36,60.0,48.09,16.94,47.347500000000004,8.25,3.43,results_rys_fast/rys_5_10
6,10,4,16,64.65,59.6,48.82,17.77,47.71,7.79,3.63,results_rys_fast/rys_6_10
7,10,3,15,64.83,60.4,48.18,17.69,47.775,7.96,3.48,results_rys_fast/rys_7_10
8,10,2,14,65.35,60.8,48.18,17.97,48.074999999999996,7.96,3.42,results_rys_fast/rys_8_10
9,10,1,13,65.08,60.8,48.82,17.24,47.985,7.23,3.3,results_rys_fast/rys_9_10
0,11,11,23,62.77,56.8,47.55,16.41,45.8825,7.96,3.34,results_rys_fast/rys_0_11
1,11,10,22,63.29,57.6,49.55,16.58,46.754999999999995,8.65,3.36,results_rys_fast/rys_1_11
2,11,9,21,63.37,57.2,48.55,16.51,46.4075,8.61,3.42,results_rys_fast/rys_2_11
3,11,8,20,63.69,58.8,49.55,16.23,47.067499999999995,8.63,3.44,results_rys_fast/rys_3_11
4,11,7,19,64.05,59.2,49.91,17.06,47.555,8.25,3.46,results_rys_fast/rys_4_11
5,11,6,18,64.35,58.4,49.45,18.15,47.5875,7.82,3.38,results_rys_fast/rys_5_11
6,11,5,17,64.51,58.0,49.36,18.35,47.555,7.44,3.57,results_rys_fast/rys_6_11
7,11,4,16,64.84,59.2,50.09,18.06,48.0475,7.54,3.45,results_rys_fast/rys_7_11
8,11,3,15,64.93,57.2,49.73,18.5,47.59,7.63,3.45,results_rys_fast/rys_8_11
9,11,2,14,64.75,56.8,48.73,17.91,47.0475,6.94,3.27,results_rys_fast/rys_9_11
10,11,1,13,64.98,58.4,50.64,18.13,48.0375,7.12,3.0,results_rys_fast/rys_10_11
0,12,12,24,63.17,57.6,48.0,16.77,46.385,8.04,3.28,results_rys_fast/rys_0_12
1,12,11,23,63.28,56.8,49.91,16.31,46.574999999999996,8.62,3.17,results_rys_fast/rys_1_12
2,12,10,22,63.37,57.6,49.45,16.75,46.792500000000004,8.56,3.17,results_rys_fast/rys_2_12
