rys_start,rys_end,duplicated_layers,execution_layers,blimp_fast,supplement_fast,ewok_fast,entity_tracking_fast,combined_sentence_acc,eye_tracking_score,self_paced_reading_score,output_dir
0,0,0,12,65.9,58.4,49.64,19.47,48.3525,6.25,2.13,results_rys_fast/baseline
0,1,1,13,64.19,58.0,49.73,17.3,47.305,6.89,2.73,results_rys_fast/rys_0_1
0,2,2,14,63.69,60.0,47.91,17.33,47.2325,7.34,2.44,results_rys_fast/rys_0_2
1,2,1,13,65.69,60.4,49.27,17.59,48.2375,6.44,2.03,results_rys_fast/rys_1_2
0,3,3,15,63.92,62.4,48.45,16.58,47.8375,7.11,2.41,results_rys_fast/rys_0_3
1,3,2,14,65.38,62.4,48.55,16.96,48.3225,6.47,1.89,results_rys_fast/rys_1_3
2,3,1,13,65.67,61.2,49.18,18.38,48.6075,6.27,1.99,results_rys_fast/rys_2_3
0,4,4,16,63.63,59.6,48.27,16.65,47.0375,6.5,2.46,results_rys_fast/rys_0_4
1,4,3,15,64.78,60.4,47.45,17.3,47.4825,6.02,2.11,results_rys_fast/rys_1_4
2,4,2,14,65.29,59.2,47.09,18.76,47.585,5.74,2.15,results_rys_fast/rys_2_4
3,4,1,13,65.13,60.4,47.82,18.24,47.8975,5.65,2.23,results_rys_fast/rys_3_4
0,5,5,17,62.75,60.4,47.45,17.31,46.9775,6.48,2.58,results_rys_fast/rys_0_5
1,5,4,16,64.07,62.4,47.18,17.36,47.7525,6.18,2.28,results_rys_fast/rys_1_5
2,5,3,15,64.71,60.8,46.45,18.64,47.65,5.84,2.13,results_rys_fast/rys_2_5
3,5,2,14,64.69,60.4,46.64,17.75,47.37,5.7,2.14,results_rys_fast/rys_3_5
4,5,1,13,65.63,58.8,50.09,19.17,48.4225,6.13,2.01,results_rys_fast/rys_4_5
0,6,6,18,62.3,59.2,47.36,17.73,46.6475,6.58,2.32,results_rys_fast/rys_0_6
1,6,5,17,64.23,59.6,47.64,18.19,47.415,6.44,2.15,results_rys_fast/rys_1_6
2,6,4,16,64.97,59.2,48.09,19.23,47.8725,6.42,1.97,results_rys_fast/rys_2_6
3,6,3,15,64.83,60.0,48.27,18.25,47.8375,6.31,2.11,results_rys_fast/rys_3_6
4,6,2,14,65.95,57.6,49.55,18.62,47.93,6.3,1.9,results_rys_fast/rys_4_6
5,6,1,13,65.93,57.6,50.09,18.9,48.13,6.5,1.9,results_rys_fast/rys_5_6
0,7,7,19,62.75,60.8,48.45,18.34,47.585,7.12,2.7,results_rys_fast/rys_0_7
1,7,6,18,64.27,60.4,50.27,18.97,48.4775,7.13,2.41,results_rys_fast/rys_1_7
2,7,5,17,64.7,60.8,49.36,19.33,48.5475,7.36,2.36,results_rys_fast/rys_2_7
3,7,4,16,65.17,60.0,48.73,18.7,48.15,7.32,2.53,results_rys_fast/rys_3_7
4,7,3,15,65.98,59.2,49.27,19.38,48.4575,7.33,2.52,results_rys_fast/rys_4_7
5,7,2,14,66.25,59.6,48.09,18.62,48.14,7.51,2.58,results_rys_fast/rys_5_7
6,7,1,13,66.32,58.8,47.91,18.43,47.864999999999995,6.9,2.56,results_rys_fast/rys_6_7
0,8,8,20,63.5,57.6,50.09,18.78,47.4925,7.04,2.52,results_rys_fast/rys_0_8
1,8,7,19,64.99,60.0,48.64,19.13,48.19,7.79,2.19,results_rys_fast/rys_1_8
2,8,6,18,65.42,58.4,48.91,18.61,47.835,8.17,2.21,results_rys_fast/rys_2_8
3,8,5,17,65.78,59.6,48.18,17.96,47.88,8.07,2.28,results_rys_fast/rys_3_8
4,8,4,16,66.41,58.8,48.82,18.8,48.207499999999996,7.77,2.31,results_rys_fast/rys_4_8
5,8,3,15,67.09,58.4,48.0,18.03,47.88,7.66,2.48,results_rys_fast/rys_5_8
6,8,2,14,67.16,58.0,47.73,18.75,47.91,7.15,2.59,results_rys_fast/rys_6_8
7,8,1,13,66.75,57.6,48.64,18.23,47.805,6.49,2.25,results_rys_fast/rys_7_8
0,9,9,21,63.44,58.0,50.36,18.17,47.4925,7.52,2.46,results_rys_fast/rys_0_9
1,9,8,20,65.23,60.4,48.82,19.48,48.4825,8.31,2.37,results_rys_fast/rys_1_9
2,9,7,19,65.43,59.6,48.09,19.34,48.115,8.61,2.43,results_rys_fast/rys_2_9
3,9,6,18,65.56,59.6,48.27,18.25,47.92,8.42,2.54,results_rys_fast/rys_3_9
4,9,5,17,66.16,58.8,49.73,19.0,48.4225,8.15,2.64,results_rys_fast/rys_4_9
5,9,4,16,66.69,59.6,48.27,18.66,48.305,7.98,2.83,results_rys_fast/rys_5_9
6,9,3,15,67.16,57.6,48.18,18.4,47.835,7.46,2.97,results_rys_fast/rys_6_9
7,9,2,14,66.72,58.8,49.09,18.66,48.3175,6.69,2.82,results_rys_fast/rys_7_9
8,9,1,13,65.81,57.2,49.64,18.3,47.737500000000004,6.51,2.58,results_rys_fast/rys_8_9
0,10,10,22,64.16,59.6,49.18,19.26,48.05,8.16,2.47,results_rys_fast/rys_0_10
1,10,9,21,65.01,60.0,48.91,20.07,48.4975,8.59,2.57,results_rys_fast/rys_1_10
2,10,8,20,65.2,61.2,49.64,19.81,48.9625,8.87,2.64,results_rys_fast/rys_2_10
3,10,7,19,65.57,60.8,48.64,20.25,48.815,8.8,2.78,results_rys_fast/rys_3_10
4,10,6,18,66.17,61.2,48.82,19.68,48.9675,8.51,2.73,results_rys_fast/rys_4_10
5,10,5,17,66.6,60.4,48.09,18.7,48.4475,8.31,2.8,results_rys_fast/rys_5_10
6,10,4,16,66.99,59.6,48.55,20.25,48.8475,7.75,2.93,results_rys_fast/rys_6_10
7,10,3,15,66.63,60.8,49.27,19.54,49.06,6.97,2.78,results_rys_fast/rys_7_10
8,10,2,14,65.94,60.4,47.91,18.51,48.19,6.79,2.58,results_rys_fast/rys_8_10
9,10,1,13,65.77,60.0,48.0,18.67,48.11,6.72,2.23,results_rys_fast/rys_9_10
0,11,11,23,64.3,58.4,50.18,19.25,48.0325,8.63,2.52,results_rys_fast/rys_0_11
1,11,10,22,65.04,59.6,50.45,20.31,48.85,8.84,2.65,results_rys_fast/rys_1_11
2,11,9,21,65.1,59.2,51.55,20.11,48.989999999999995,9.17,2.71,results_rys_fast/rys_2_11
3,11,8,20,65.35,58.8,50.55,19.25,48.4875,9.04,2.89,results_rys_fast/rys_3_11
4,11,7,19,65.7,58.8,49.27,19.63,48.35,8.8,2.79,results_rys_fast/rys_4_11
5,11,6,18,66.31,58.0,50.0,19.27,48.395,8.61,2.81,results_rys_fast/rys_5_11
6,11,5,17,66.72,58.4,49.09,18.9,48.2775,8.02,2.89,results_rys_fast/rys_6_11
7,11,4,16,66.36,60.0,49.36,19.44,48.79,7.47,2.78,results_rys_fast/rys_7_11
8,11,3,15,65.68,59.6,48.27,18.1,47.9125,7.31,2.52,results_rys_fast/rys_8_11
9,11,2,14,65.6,60.4,48.73,18.25,48.245,7.01,2.24,results_rys_fast/rys_9_11
10,11,1,13,65.78,58.4,48.73,19.11,48.004999999999995,6.48,2.04,results_rys_fast/rys_10_11
0,12,12,24,64.54,58.8,50.64,17.89,47.9675,7.91,2.16,results_rys_fast/rys_0_12
1,12,11,23,65.3,58.4,51.27,19.03,48.5,7.96,2.29,results_rys_fast/rys_1_12
2,12,10,22,65.12,58.4,50.55,20.39,48.615,8.45,2.43,results_rys_fast/rys_2_12
3,12,9,21,65.05,58.8,50.09,18.39,48.082499999999996,8.51,2.66,results_rys_fast/rys_3_12
4,12,8,20,65.67,58.4,49.27,19.37,48.1775,8.27,2.59,results_rys_fast/rys_4_12
5,12,7,19,65.96,58.4,49.27,18.36,47.9975,7.96,2.57,results_rys_fast/rys_5_12
6,12,6,18,66.1,58.8,49.45,18.39,48.185,7.42,2.5,results_rys_fast/rys_6_12
7,12,5,17,66.13,58.4,49.55,19.12,48.3,6.95,2.34,results_rys_fast/rys_7_12
8,12,4,16,65.43,57.2,48.27,18.7,47.400000000000006,6.49,2.05,results_rys_fast/rys_8_12
9,12,3,15,65.25,58.4,48.82,19.33,47.95,6.03,1.89,results_rys_fast/rys_9_12
10,12,2,14,65.2,59.2,48.18,19.01,47.8975,5.44,1.64,results_rys_fast/rys_10_12
11,12,1,13,65.39,57.2,49.27,18.3,47.54,5.09,1.64,results_rys_fast/rys_11_12
