rys_start,rys_end,duplicated_layers,execution_layers,blimp_fast,supplement_fast,ewok_fast,entity_tracking_fast,combined_sentence_acc,eye_tracking_score,self_paced_reading_score,output_dir
0,0,0,12,66.07,58.8,51.09,17.44,48.35,8.38,2.04,results_rys_fast/baseline
0,1,1,13,64.22,56.8,51.45,17.6,47.5175,7.66,1.94,results_rys_fast/rys_0_1
0,2,2,14,65.1,59.6,52.0,17.57,48.567499999999995,7.62,2.39,results_rys_fast/rys_0_2
1,2,1,13,66.05,60.4,51.27,18.2,48.98,8.35,2.24,results_rys_fast/rys_1_2
0,3,3,15,65.75,60.4,51.91,18.58,49.16,7.5,2.32,results_rys_fast/rys_0_3
1,3,2,14,66.26,58.4,51.18,17.87,48.4275,7.83,2.18,results_rys_fast/rys_1_3
2,3,1,13,66.39,58.0,50.91,17.3,48.15,8.05,2.02,results_rys_fast/rys_2_3
0,4,4,16,65.39,60.8,51.0,19.35,49.135,7.24,2.47,results_rys_fast/rys_0_4
1,4,3,15,65.78,60.4,51.27,18.68,49.0325,7.46,2.28,results_rys_fast/rys_1_4
2,4,2,14,65.79,59.6,50.18,17.86,48.3575,7.37,2.17,results_rys_fast/rys_2_4
3,4,1,13,65.74,59.2,51.36,18.4,48.675,7.67,2.21,results_rys_fast/rys_3_4
0,5,5,17,65.43,58.8,50.18,18.56,48.2425,7.22,2.54,results_rys_fast/rys_0_5
1,5,4,16,65.15,57.2,50.0,18.29,47.660000000000004,7.57,2.37,results_rys_fast/rys_1_5
2,5,3,15,64.96,57.2,49.45,18.58,47.5475,7.5,2.28,results_rys_fast/rys_2_5
3,5,2,14,64.67,56.8,49.73,18.52,47.43,7.9,2.29,results_rys_fast/rys_3_5
4,5,1,13,65.13,57.6,49.82,17.81,47.589999999999996,8.43,2.08,results_rys_fast/rys_4_5
0,6,6,18,64.87,56.8,50.09,19.32,47.77,7.36,2.51,results_rys_fast/rys_0_6
1,6,5,17,64.7,56.0,48.73,18.34,46.9425,7.76,2.37,results_rys_fast/rys_1_6
2,6,4,16,64.63,55.6,49.27,18.09,46.8975,7.82,2.34,results_rys_fast/rys_2_6
3,6,3,15,64.49,54.8,48.0,17.45,46.184999999999995,8.32,2.3,results_rys_fast/rys_3_6
4,6,2,14,65.19,57.2,51.27,17.96,47.905,8.81,2.0,results_rys_fast/rys_4_6
5,6,1,13,65.68,56.8,51.27,18.44,48.0475,8.65,2.03,results_rys_fast/rys_5_6
0,7,7,19,63.91,53.2,50.27,17.89,46.3175,6.93,2.33,results_rys_fast/rys_0_7
1,7,6,18,63.96,52.8,50.18,18.3,46.31,7.65,2.24,results_rys_fast/rys_1_7
2,7,5,17,63.81,54.0,49.73,17.57,46.2775,7.81,2.25,results_rys_fast/rys_2_7
3,7,4,16,64.01,55.2,50.09,18.24,46.885000000000005,8.49,2.18,results_rys_fast/rys_3_7
4,7,3,15,64.61,54.0,51.27,17.83,46.9275,8.76,1.94,results_rys_fast/rys_4_7
5,7,2,14,65.04,54.0,51.73,17.47,47.06,8.6,1.87,results_rys_fast/rys_5_7
6,7,1,13,65.48,53.2,51.18,17.18,46.760000000000005,8.35,1.91,results_rys_fast/rys_6_7
0,8,8,20,64.56,52.8,49.45,18.49,46.325,6.46,2.17,results_rys_fast/rys_0_8
1,8,7,19,64.6,54.0,49.45,18.09,46.535,7.47,2.14,results_rys_fast/rys_1_8
2,8,6,18,64.49,54.8,49.91,17.87,46.7675,7.63,2.16,results_rys_fast/rys_2_8
3,8,5,17,64.74,54.4,49.64,16.81,46.3975,7.91,2.1,results_rys_fast/rys_3_8
4,8,4,16,65.55,52.8,51.0,16.86,46.552499999999995,8.02,1.86,results_rys_fast/rys_4_8
5,8,3,15,66.07,54.8,51.09,17.68,47.41,7.95,1.86,results_rys_fast/rys_5_8
