rys_start,rys_end,duplicated_layers,execution_layers,blimp_fast,supplement_fast,ewok_fast,entity_tracking_fast,combined_sentence_acc,eye_tracking_score,self_paced_reading_score,output_dir
0,0,0,12,67.59,59.2,51.09,16.84,48.68,8.43,2.89,results_rys_fast/baseline
0,1,1,13,65.52,56.8,52.55,18.16,48.2575,8.73,3.01,results_rys_fast/rys_0_1
0,2,2,14,65.51,56.8,52.0,17.72,48.0075,8.5,2.91,results_rys_fast/rys_0_2
1,2,1,13,67.03,59.2,50.64,17.61,48.620000000000005,8.14,2.77,results_rys_fast/rys_1_2
0,3,3,15,65.84,58.8,50.09,17.98,48.1775,8.39,2.83,results_rys_fast/rys_0_3
1,3,2,14,66.42,58.0,50.73,16.89,48.01,7.97,2.71,results_rys_fast/rys_1_3
2,3,1,13,66.96,58.4,51.09,17.03,48.37,8.14,2.77,results_rys_fast/rys_2_3
0,4,4,16,65.84,56.8,51.36,17.08,47.769999999999996,8.72,2.94,results_rys_fast/rys_0_4
1,4,3,15,66.24,58.4,49.91,16.81,47.839999999999996,8.38,2.8,results_rys_fast/rys_1_4
2,4,2,14,66.64,58.0,50.73,16.61,47.995,8.65,2.91,results_rys_fast/rys_2_4
3,4,1,13,67.17,59.2,51.09,16.92,48.595,8.75,2.96,results_rys_fast/rys_3_4
0,5,5,17,65.48,56.4,51.27,17.28,47.6075,8.28,2.82,results_rys_fast/rys_0_5
1,5,4,16,65.95,60.0,50.45,17.25,48.4125,8.02,2.73,results_rys_fast/rys_1_5
2,5,3,15,66.25,59.2,51.09,16.24,48.195,8.21,2.78,results_rys_fast/rys_2_5
3,5,2,14,66.91,58.4,51.0,17.01,48.33,8.21,2.81,results_rys_fast/rys_3_5
4,5,1,13,67.13,58.8,51.18,16.71,48.455,7.96,2.77,results_rys_fast/rys_4_5
0,6,6,18,66.03,55.6,50.27,17.05,47.237500000000004,8.34,2.89,results_rys_fast/rys_0_6
1,6,5,17,66.31,57.2,49.91,17.4,47.705,8.04,2.77,results_rys_fast/rys_1_6
2,6,4,16,66.88,56.0,51.18,16.88,47.735,8.25,2.83,results_rys_fast/rys_2_6
3,6,3,15,67.16,56.4,49.36,16.55,47.3675,8.23,2.83,results_rys_fast/rys_3_6
4,6,2,14,67.04,56.8,49.64,17.09,47.6425,8.0,2.8,results_rys_fast/rys_4_6
5,6,1,13,67.49,57.2,50.55,17.61,48.2125,8.41,2.91,results_rys_fast/rys_5_6
0,7,7,19,65.84,55.6,49.82,17.42,47.17,8.43,2.99,results_rys_fast/rys_0_7
1,7,6,18,66.31,57.6,49.82,17.55,47.82,8.15,2.85,results_rys_fast/rys_1_7
2,7,5,17,66.41,58.4,49.82,17.06,47.9225,8.34,2.92,results_rys_fast/rys_2_7
3,7,4,16,66.45,57.2,49.82,17.07,47.635000000000005,8.3,2.91,results_rys_fast/rys_3_7
4,7,3,15,66.95,58.4,49.0,17.42,47.9425,8.07,2.87,results_rys_fast/rys_4_7
5,7,2,14,67.15,57.2,50.09,18.14,48.145,8.33,2.94,results_rys_fast/rys_5_7
6,7,1,13,67.39,57.2,51.55,16.96,48.275,8.34,2.93,results_rys_fast/rys_6_7
0,8,8,20,65.52,55.2,49.55,16.77,46.76,8.45,2.98,results_rys_fast/rys_0_8
1,8,7,19,65.64,57.6,51.18,16.63,47.7625,8.33,2.9,results_rys_fast/rys_1_8
2,8,6,18,65.84,58.4,49.64,16.61,47.6225,8.45,2.95,results_rys_fast/rys_2_8
3,8,5,17,66.18,56.0,49.55,16.59,47.08,8.43,2.93,results_rys_fast/rys_3_8
4,8,4,16,66.44,56.4,51.18,16.65,47.6675,8.26,2.9,results_rys_fast/rys_4_8
5,8,3,15,66.33,56.0,51.73,17.3,47.839999999999996,8.41,2.94,results_rys_fast/rys_5_8
6,8,2,14,66.63,57.2,51.27,16.43,47.8825,8.42,2.93,results_rys_fast/rys_6_8
7,8,1,13,66.64,56.0,51.27,16.96,47.7175,8.48,2.88,results_rys_fast/rys_7_8
0,9,9,21,64.65,54.8,51.36,16.91,46.93,8.5,3.0,results_rys_fast/rys_0_9
1,9,8,20,64.73,57.2,49.91,16.39,47.057500000000005,8.49,2.97,results_rys_fast/rys_1_9
2,9,7,19,64.93,58.0,49.0,15.96,46.972500000000004,8.59,2.99,results_rys_fast/rys_2_9
3,9,6,18,65.43,56.8,49.91,17.26,47.35,8.58,2.96,results_rys_fast/rys_3_9
4,9,5,17,65.73,56.4,50.36,16.73,47.305,8.45,2.94,results_rys_fast/rys_4_9
5,9,4,16,65.91,55.6,51.45,17.16,47.53,8.48,2.94,results_rys_fast/rys_5_9
6,9,3,15,66.04,56.0,51.27,16.91,47.555,8.5,2.91,results_rys_fast/rys_6_9
7,9,2,14,66.3,55.2,51.09,16.38,47.2425,8.56,2.86,results_rys_fast/rys_7_9
8,9,1,13,66.71,57.6,51.18,16.73,48.055,8.49,2.89,results_rys_fast/rys_8_9
0,10,10,22,64.8,54.0,50.91,16.94,46.6625,8.42,2.99,results_rys_fast/rys_0_10
1,10,9,21,64.94,56.8,49.45,16.85,47.01,8.48,3.0,results_rys_fast/rys_1_10
2,10,8,20,64.81,58.0,50.55,16.53,47.4725,8.55,3.01,results_rys_fast/rys_2_10
3,10,7,19,65.06,57.6,49.18,16.78,47.155,8.56,2.98,results_rys_fast/rys_3_10
4,10,6,18,65.56,56.8,50.91,17.53,47.7,8.51,2.97,results_rys_fast/rys_4_10
5,10,5,17,65.81,56.4,51.64,17.37,47.805,8.49,2.95,results_rys_fast/rys_5_10
6,10,4,16,65.6,56.4,51.91,18.08,47.997499999999995,8.51,2.91,results_rys_fast/rys_6_10
7,10,3,15,66.04,56.0,50.36,17.76,47.54,8.56,2.86,results_rys_fast/rys_7_10
8,10,2,14,66.52,56.8,50.27,18.09,47.92,8.46,2.88,results_rys_fast/rys_8_10
9,10,1,13,66.85,59.2,51.45,17.81,48.8275,8.4,2.88,results_rys_fast/rys_9_10
0,11,11,23,65.04,54.8,50.55,16.84,46.8075,8.38,2.99,results_rys_fast/rys_0_11
1,11,10,22,65.07,57.2,49.18,16.92,47.0925,8.47,3.02,results_rys_fast/rys_1_11
2,11,9,21,65.02,56.8,49.18,16.96,46.989999999999995,8.53,3.02,results_rys_fast/rys_2_11
3,11,8,20,65.54,56.8,48.82,17.54,47.175,8.54,2.99,results_rys_fast/rys_3_11
