rys_start,rys_end,duplicated_layers,execution_layers,blimp_fast,supplement_fast,ewok_fast,entity_tracking_fast,combined_sentence_acc,eye_tracking_score,self_paced_reading_score,output_dir
0,0,0,12,65.54,60.0,50.36,17.86,48.44,8.55,2.75,results_rys_fast/baseline
0,1,1,13,63.81,58.4,50.82,17.4,47.6075,9.22,2.99,results_rys_fast/rys_0_1
0,2,2,14,64.8,61.2,51.09,16.98,48.5175,8.98,2.91,results_rys_fast/rys_0_2
1,2,1,13,65.7,61.2,48.64,17.27,48.2025,8.26,2.68,results_rys_fast/rys_1_2
0,3,3,15,64.07,61.2,50.27,17.86,48.35,8.86,2.81,results_rys_fast/rys_0_3
1,3,2,14,65.01,60.8,49.45,17.72,48.245000000000005,8.19,2.61,results_rys_fast/rys_1_3
2,3,1,13,65.28,60.8,49.09,17.91,48.27,8.4,2.68,results_rys_fast/rys_2_3
0,4,4,16,63.47,60.8,48.55,17.7,47.629999999999995,8.64,2.72,results_rys_fast/rys_0_4
1,4,3,15,64.36,59.2,49.18,17.58,47.58,8.17,2.56,results_rys_fast/rys_1_4
2,4,2,14,64.6,60.4,49.82,17.23,48.012499999999996,8.26,2.63,results_rys_fast/rys_2_4
3,4,1,13,64.63,58.8,51.45,17.15,48.0075,8.34,2.68,results_rys_fast/rys_3_4
0,5,5,17,63.28,62.0,49.18,17.48,47.985,8.06,2.6,results_rys_fast/rys_0_5
1,5,4,16,63.6,60.8,49.73,17.03,47.79,8.15,2.5,results_rys_fast/rys_1_5
2,5,3,15,63.57,60.0,50.45,17.34,47.84,8.0,2.56,results_rys_fast/rys_2_5
3,5,2,14,63.8,59.6,50.82,17.27,47.8725,7.92,2.58,results_rys_fast/rys_3_5
4,5,1,13,64.71,58.8,51.55,17.34,48.099999999999994,7.86,2.59,results_rys_fast/rys_4_5
0,6,6,18,63.26,60.0,50.45,17.9,47.9025,8.04,2.65,results_rys_fast/rys_0_6
1,6,5,17,63.25,59.2,51.18,17.14,47.6925,7.91,2.6,results_rys_fast/rys_1_6
2,6,4,16,63.34,59.2,51.45,17.53,47.88,7.86,2.64,results_rys_fast/rys_2_6
3,6,3,15,63.36,59.2,52.27,17.21,48.010000000000005,7.86,2.64,results_rys_fast/rys_3_6
4,6,2,14,64.14,57.6,52.55,18.46,48.1875,7.86,2.66,results_rys_fast/rys_4_6
5,6,1,13,64.84,58.4,53.27,17.23,48.435,8.42,2.77,results_rys_fast/rys_5_6
0,7,7,19,62.73,60.0,51.45,18.45,48.1575,8.17,2.73,results_rys_fast/rys_0_7
1,7,6,18,62.96,59.6,51.0,17.88,47.86,7.97,2.7,results_rys_fast/rys_1_7
2,7,5,17,63.1,59.6,51.18,16.63,47.6275,7.98,2.73,results_rys_fast/rys_2_7
3,7,4,16,63.26,58.8,51.91,17.39,47.839999999999996,7.93,2.73,results_rys_fast/rys_3_7
4,7,3,15,64.19,59.6,51.82,17.89,48.375,7.89,2.74,results_rys_fast/rys_4_7
5,7,2,14,64.72,59.2,51.73,17.19,48.21,8.28,2.78,results_rys_fast/rys_5_7
6,7,1,13,65.64,60.0,49.64,17.62,48.225,8.41,2.79,results_rys_fast/rys_6_7
0,8,8,20,63.27,58.4,50.73,18.56,47.74,8.51,2.79,results_rys_fast/rys_0_8
1,8,7,19,63.42,58.4,50.55,18.18,47.6375,8.32,2.74,results_rys_fast/rys_1_8
2,8,6,18,63.69,58.8,51.18,16.64,47.5775,8.39,2.77,results_rys_fast/rys_2_8
3,8,5,17,64.01,56.8,51.09,17.61,47.3775,8.34,2.76,results_rys_fast/rys_3_8
4,8,4,16,64.63,59.2,52.18,18.31,48.58,8.28,2.77,results_rys_fast/rys_4_8
5,8,3,15,65.07,58.4,50.91,17.87,48.0625,8.53,2.82,results_rys_fast/rys_5_8
6,8,2,14,65.72,58.0,50.27,17.45,47.86,8.64,2.83,results_rys_fast/rys_6_8
7,8,1,13,65.62,56.8,50.09,17.86,47.5925,8.68,2.79,results_rys_fast/rys_7_8
0,9,9,21,62.84,57.2,49.82,18.71,47.1425,8.65,2.81,results_rys_fast/rys_0_9
1,9,8,20,63.11,57.6,50.36,17.98,47.2625,8.57,2.77,results_rys_fast/rys_1_9
2,9,7,19,63.16,57.2,50.73,17.26,47.0875,8.62,2.79,results_rys_fast/rys_2_9
3,9,6,18,63.37,58.0,51.45,17.38,47.55,8.57,2.78,results_rys_fast/rys_3_9
4,9,5,17,64.13,58.4,51.09,17.77,47.8475,8.44,2.79,results_rys_fast/rys_4_9
5,9,4,16,64.41,57.2,50.91,17.58,47.525,8.56,2.8,results_rys_fast/rys_5_9
6,9,3,15,65.22,57.6,50.64,17.86,47.83,8.64,2.81,results_rys_fast/rys_6_9
7,9,2,14,64.93,57.6,51.0,17.29,47.705,8.64,2.77,results_rys_fast/rys_7_9
8,9,1,13,65.02,57.6,50.18,18.03,47.707499999999996,8.59,2.76,results_rys_fast/rys_8_9
0,10,10,22,62.72,58.8,50.82,17.71,47.5125,8.7,2.81,results_rys_fast/rys_0_10
1,10,9,21,62.97,58.4,49.55,17.19,47.027499999999996,8.73,2.8,results_rys_fast/rys_1_10
2,10,8,20,63.04,58.4,50.27,16.69,47.1,8.77,2.8,results_rys_fast/rys_2_10
3,10,7,19,63.22,58.4,51.09,16.59,47.325,8.74,2.8,results_rys_fast/rys_3_10
4,10,6,18,63.86,58.4,51.82,17.62,47.925,8.59,2.8,results_rys_fast/rys_4_10
5,10,5,17,64.28,57.2,51.82,18.03,47.8325,8.66,2.8,results_rys_fast/rys_5_10
6,10,4,16,65.25,57.6,51.55,18.35,48.1875,8.71,2.79,results_rys_fast/rys_6_10
7,10,3,15,65.02,56.0,50.64,18.34,47.5,8.7,2.75,results_rys_fast/rys_7_10
8,10,2,14,64.63,58.0,51.64,18.15,48.105,8.68,2.74,results_rys_fast/rys_8_10
9,10,1,13,65.37,57.6,51.73,17.6,48.075,8.65,2.73,results_rys_fast/rys_9_10
0,11,11,23,62.74,58.8,50.18,17.16,47.22,8.71,2.8,results_rys_fast/rys_0_11
1,11,10,22,63.22,59.6,51.36,16.4,47.644999999999996,8.78,2.8,results_rys_fast/rys_1_11
2,11,9,21,63.37,58.0,50.91,17.47,47.4375,8.83,2.81,results_rys_fast/rys_2_11
3,11,8,20,63.46,59.2,50.91,17.79,47.84,8.79,2.8,results_rys_fast/rys_3_11
4,11,7,19,63.88,58.4,51.73,17.57,47.894999999999996,8.65,2.79,results_rys_fast/rys_4_11
5,11,6,18,64.34,59.2,52.0,18.08,48.405,8.69,2.79,results_rys_fast/rys_5_11
6,11,5,17,65.25,59.2,51.09,18.67,48.5525,8.71,2.78,results_rys_fast/rys_6_11
7,11,4,16,65.22,57.6,51.36,17.79,47.9925,8.7,2.74,results_rys_fast/rys_7_11
8,11,3,15,64.86,56.8,50.73,17.81,47.55,8.7,2.73,results_rys_fast/rys_8_11
9,11,2,14,65.54,58.0,51.73,17.82,48.2725,8.65,2.71,results_rys_fast/rys_9_11
10,11,1,13,65.82,59.2,50.18,18.02,48.305,8.54,2.72,results_rys_fast/rys_10_11
0,12,12,24,62.53,60.4,51.36,17.3,47.8975,8.82,2.84,results_rys_fast/rys_0_12
1,12,11,23,63.19,60.4,51.36,17.34,48.0725,8.92,2.85,results_rys_fast/rys_1_12
2,12,10,22,62.94,58.8,52.55,17.19,47.87,8.96,2.85,results_rys_fast/rys_2_12
3,12,9,21,63.23,58.4,51.91,17.18,47.68,8.94,2.84,results_rys_fast/rys_3_12
4,12,8,20,63.51,58.4,52.27,17.19,47.8425,8.82,2.84,results_rys_fast/rys_4_12
5,12,7,19,64.01,58.0,51.45,18.6,48.015,8.84,2.83,results_rys_fast/rys_5_12
6,12,6,18,64.64,59.2,50.91,18.06,48.2025,8.83,2.81,results_rys_fast/rys_6_12
7,12,5,17,64.74,56.4,50.18,17.68,47.25,8.82,2.77,results_rys_fast/rys_7_12
8,12,4,16,64.48,58.4,50.27,17.27,47.605000000000004,8.85,2.77,results_rys_fast/rys_8_12
9,12,3,15,65.06,60.4,50.09,17.83,48.345,8.77,2.73,results_rys_fast/rys_9_12
10,12,2,14,65.46,61.2,50.0,18.2,48.714999999999996,8.67,2.76,results_rys_fast/rys_10_12
11,12,1,13,65.28,61.2,50.91,18.53,48.980000000000004,8.62,2.78,results_rys_fast/rys_11_12
